"﻿""Ardéchois à la crème de marrons""",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Ard%C3%A9chois_%C3%A0_la_cr%C3%A8me_de_marron.jpg/800px-Ard%C3%A9chois_%C3%A0_la_cr%C3%A8me_de_marron.jpg
Baba au rhum,http://www.mangercacher.com/images/images_plats/gd_La-Delicieuse-Voltaire_Les-Entremets-individuels_Baba-au-rhum.jpg
Brioche,http://www.terroirsdechefs.com/var/terroirsdechefs/storage/images/galerie/galeries-photos/produits/de-boulangerie/brioche/81882-1-fre-FR/Brioche_zoom.jpg
Beignet,http://www.grands-meres.net/wp-content/uploads/2013/02/recette-de-beignets.jpg,620360270054051840
Brownie,http://foodnetwork.sndimg.com/content/dam/images/food/fullset/2011/10/25/1/CC_Alton-Brown-Cocoa-Brownies_s4x3.jpg,620363300560310272
Bavarois,http://p1.storage.canalblog.com/12/18/468321/38541376.jpg,630085625350365184
Crème brûlée,http://www.recettesdumonde.info/wp-content/uploads/2013/12/Creme-brulee.jpg,630086327258771456
Chou à la crème,http://www.supplex.fr/blog/wp-content/uploads/2015/05/choux_creme_patissiere-2.jpg,620363825674588160
Clafoutis,http://images.sweetauthoring.com/recipe/30907_682.jpg,620355030923780096
Crêpe,http://www.mamanatable.com/wp-content/uploads/2015/02/Crepe_Sweet.jpg,620355779900612608
Amandine aux poires,http://1001facons.fr/wp-content/uploads/2013/04/tarte_amandine_poires3-1000.jpg,620358465320521728,620363722092101636,620366326549348356,630086288130088960
Biscuit rose de Reims,http://www.joursheureux.fr/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/h/jh3714amb7495_18.jpg
Cannelé bordelais,https://upload.wikimedia.org/wikipedia/commons/a/aa/Caneles_stemilion.jpg
Cookie,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Chocolate_Chip_Cookies_-_kimberlykv.jpg/1024px-Chocolate_Chip_Cookies_-_kimberlykv.jpg,620366389426171905
Charlotte,http://ltgcdn2-philipjacob.netdna-ssl.com/wp-content/uploads/2007/05/charlotte.jpg,620363729662832644
Cheesecake,http://p1.pic.akm.vodst.com/17215/17215.comment-faire-un-cheesecake-rapide-a-la-peche.w_1280.h_720.m_zoom.c_middle.ts_1334757110..jpg,620357499795939329,620361350016073728,620361460154257408,620363502935482368,620366943283978240
Cupcake,http://img0.gtsstatic.com/wallpapers/892f82c5138f25c188fff5730c4c79ba_large.jpeg
Chausson italien,http://icu.linter.fr/750/366379/6898364410/chaussons-italiens.jpg,630087171085611009
Cornes de gazelles,http://www.janejohnsonbooks.com/wp-content/uploads/2012/03/Cornes-de-gazelles.jpg
Crumble,http://www.cuisiner-c-facile.fr/wp-content/uploads/2014/10/Crumble.jpg,630085595805712385
Éclair,http://static.ladepeche.fr/content/media/image/zoom/2010/02/10/4346-20100210130046.jpg,620352640959021056
Far breton,http://www.papillesetpupilles.fr/wp-content/uploads/2013/09/Far-Breton.jpg
Financier,http://www.jujube-en-cuisine.fr/wp-content/uploads/2013/06/financier_matcha_framboise1.jpg,630087202526089216
Flan pâtissier,http://farm4.enviedebienmanger.fr/sites/default/files/recipe_avatar/flan-patissier-avatar.jpg,620363065402519552,630085635316019200
Fondant au chocolat,https://cuisineestudiantine.files.wordpress.com/2014/02/gateau-mi-cuit-chocolat-piment-2.jpg,620361733278957569,620363458421329920
Forêt-noire,http://files.meilleurduchef.com/mdc/photo/recette/foret-noire/foret-noire-640.jpg,620354472636731393
Florentins,http://storage.canalblog.com/93/32/123796/11416761.jpg,620354511736061956
